127.0.0.1 - - [14/Feb/2019:23:17:22 +0900] "GET / HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:18:37 +0900] "GET /spring02/ HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:18:37 +0900] "GET /spring02/include/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:18:37 +0900] "GET /spring02/include/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:18:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:19:07 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 500 6353
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:20:53 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 500 6430
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:20:58 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 500 6430
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:22:42 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:23:07 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:23:17 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:23:19 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:23:20 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:23:22 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:23:28 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [14/Feb/2019:23:23:29 +0900] "GET /spring02/shop/product/list.do HTTP/1.1" 200 972
